,capacity_kw,provider,pv_system_id
33485,2424.0,pvoutput.org,33485
33556,4982.0,pvoutput.org,33556
33558,5877.0,pvoutput.org,33558
33720,4061.0,pvoutput.org,33720
33771,3853.0,pvoutput.org,33771
33929,4117.0,pvoutput.org,33929
33976,3776.0,pvoutput.org,33976
33977,3075.0,pvoutput.org,33977
33993,2388.0,pvoutput.org,33993
33994,1009.0,pvoutput.org,33994
34000,4971.0,pvoutput.org,34000
34014,2508.0,pvoutput.org,34014
34165,1806.0,pvoutput.org,34165
34183,3610.0,pvoutput.org,34183
34186,3518.0,pvoutput.org,34186
34265,3927.0,pvoutput.org,34265
34273,29634.0,pvoutput.org,34273
34274,20937.0,pvoutput.org,34274
34279,3851.0,pvoutput.org,34279
34292,5220.0,pvoutput.org,34292
3433,3972.0,pvoutput.org,3433
34337,3130.0,pvoutput.org,34337
34379,4004.0,pvoutput.org,34379
3449,3835.0,pvoutput.org,3449
34535,4063.0,pvoutput.org,34535
34618,2780.0,pvoutput.org,34618
3467,829.0,pvoutput.org,3467
34738,3208.0,pvoutput.org,34738
3482,3948.0,pvoutput.org,3482
34828,1127.0,pvoutput.org,34828
34920,3609.0,pvoutput.org,34920
34921,1262.0,pvoutput.org,34921
34973,3792.0,pvoutput.org,34973
34981,5054.0,pvoutput.org,34981
35052,3839.0,pvoutput.org,35052
35059,2808.0,pvoutput.org,35059
35340,2948.0,pvoutput.org,35340
35351,2904.0,pvoutput.org,35351
35481,3615.0,pvoutput.org,35481
35498,3107.0,pvoutput.org,35498
35502,3646.0,pvoutput.org,35502
35592,5784.0,pvoutput.org,35592
35625,4365.0,pvoutput.org,35625
3576,1116.0,pvoutput.org,3576
3579,5127.0,pvoutput.org,3579
3586,2496.0,pvoutput.org,3586
35863,4059.0,pvoutput.org,35863
35931,1548.0,pvoutput.org,35931
35952,74160.0,pvoutput.org,35952
35955,3984.0,pvoutput.org,35955
36019,4748.0,pvoutput.org,36019
3602,4320.0,pvoutput.org,3602
36056,3012.0,pvoutput.org,36056
36091,4404.0,pvoutput.org,36091
36130,3858.0,pvoutput.org,36130
36150,3665.0,pvoutput.org,36150
36154,3815.0,pvoutput.org,36154
36210,1832.0,pvoutput.org,36210
36263,3934.0,pvoutput.org,36263
3627,3863.0,pvoutput.org,3627
36338,5316.0,pvoutput.org,36338
36351,4500.0,pvoutput.org,36351
36374,4228.0,pvoutput.org,36374
36379,4147.0,pvoutput.org,36379
36386,1318.0,pvoutput.org,36386
3641,3948.0,pvoutput.org,3641
36419,3645.0,pvoutput.org,36419
3642,4368.0,pvoutput.org,3642
36470,356.0,pvoutput.org,36470
36482,1673.0,pvoutput.org,36482
36504,3327.0,pvoutput.org,36504
3651,3996.0,pvoutput.org,3651
36514,2600.0,pvoutput.org,36514
36538,3167.0,pvoutput.org,36538
36552,2542.0,pvoutput.org,36552
36566,4158.0,pvoutput.org,36566
36582,2479.0,pvoutput.org,36582
36602,2840.0,pvoutput.org,36602
36646,2744.0,pvoutput.org,36646
36661,3618.0,pvoutput.org,36661
36673,3808.0,pvoutput.org,36673
36721,2402.0,pvoutput.org,36721
3674,3984.0,pvoutput.org,3674
36770,3336.0,pvoutput.org,36770
36799,3054.0,pvoutput.org,36799
36800,2767.0,pvoutput.org,36800
36910,201.0,pvoutput.org,36910
36940,2962.0,pvoutput.org,36940
36956,3293.0,pvoutput.org,36956
36968,2245.0,pvoutput.org,36968
36984,3791.0,pvoutput.org,36984
37008,3727.0,pvoutput.org,37008
3701,3828.0,pvoutput.org,3701
37021,3960.0,pvoutput.org,37021
37029,1980.0,pvoutput.org,37029
37032,1980.0,pvoutput.org,37032
37035,513.0,pvoutput.org,37035
37057,3723.0,pvoutput.org,37057
37076,3712.0,pvoutput.org,37076
37079,3977.0,pvoutput.org,37079
37107,3827.0,pvoutput.org,37107
37118,6131.0,pvoutput.org,37118
37130,2128.0,pvoutput.org,37130
3716,5754.0,pvoutput.org,3716
37162,6000.0,pvoutput.org,37162
3719,3996.0,pvoutput.org,3719
37207,3756.0,pvoutput.org,37207
37225,3112.0,pvoutput.org,37225
37237,3696.0,pvoutput.org,37237
37242,3685.0,pvoutput.org,37242
37252,2376.0,pvoutput.org,37252
37292,2415.0,pvoutput.org,37292
37295,2845.0,pvoutput.org,37295
37325,3329.0,pvoutput.org,37325
3737,5040.0,pvoutput.org,3737
37373,2277.0,pvoutput.org,37373
37389,2684.0,pvoutput.org,37389
3739,4008.0,pvoutput.org,3739
37449,3735.0,pvoutput.org,37449
37507,2776.0,pvoutput.org,37507
37543,4786.0,pvoutput.org,37543
37600,1895.0,pvoutput.org,37600
3761,3996.0,pvoutput.org,3761
3764,4296.0,pvoutput.org,3764
37661,3899.0,pvoutput.org,37661
37685,2571.0,pvoutput.org,37685
37689,3162.0,pvoutput.org,37689
37694,3239.0,pvoutput.org,37694
37699,3135.0,pvoutput.org,37699
37722,4030.0,pvoutput.org,37722
37723,3560.0,pvoutput.org,37723
3774,3024.0,pvoutput.org,3774
37763,3429.0,pvoutput.org,37763
3788,2305.0,pvoutput.org,3788
3789,4656.0,pvoutput.org,3789
37893,3329.0,pvoutput.org,37893
37901,1493.0,pvoutput.org,37901
3791,4368.0,pvoutput.org,3791
3801,4008.0,pvoutput.org,3801
38020,3160.0,pvoutput.org,38020
38033,4052.0,pvoutput.org,38033
38067,3931.0,pvoutput.org,38067
38074,3161.0,pvoutput.org,38074
38102,3335.0,pvoutput.org,38102
3816,4296.0,pvoutput.org,3816
38161,3311.0,pvoutput.org,38161
38232,5976.0,pvoutput.org,38232
38254,977.0,pvoutput.org,38254
38256,3896.0,pvoutput.org,38256
3838,4008.0,pvoutput.org,3838
38467,5744.0,pvoutput.org,38467
38468,3735.0,pvoutput.org,38468
3853,4296.0,pvoutput.org,3853
3857,3420.0,pvoutput.org,3857
38575,2340.0,pvoutput.org,38575
38587,3756.0,pvoutput.org,38587
38618,2827.0,pvoutput.org,38618
3864,2934.0,pvoutput.org,3864
38754,3799.0,pvoutput.org,38754
38783,3842.0,pvoutput.org,38783
38842,2296.0,pvoutput.org,38842
38843,0.0,pvoutput.org,38843
38892,4316.0,pvoutput.org,38892
38895,2180.0,pvoutput.org,38895
38924,3326.0,pvoutput.org,38924
38950,1827.0,pvoutput.org,38950
3897,2062.0,pvoutput.org,3897
3898,2508.0,pvoutput.org,3898
39073,3095.0,pvoutput.org,39073
39083,9840.0,pvoutput.org,39083
39096,14467.0,pvoutput.org,39096
39098,10014.0,pvoutput.org,39098
39113,2989.0,pvoutput.org,39113
39131,2920.0,pvoutput.org,39131
3926,1908.0,pvoutput.org,3926
39343,3348.0,pvoutput.org,39343
39381,3883.0,pvoutput.org,39381
39417,4277.0,pvoutput.org,39417
39431,3727.0,pvoutput.org,39431
39475,8423.0,pvoutput.org,39475
39499,2798.0,pvoutput.org,39499
3951,3996.0,pvoutput.org,3951
39533,5598.0,pvoutput.org,39533
39698,3204.0,pvoutput.org,39698
39706,3031.0,pvoutput.org,39706
39777,5977.0,pvoutput.org,39777
39787,2592.0,pvoutput.org,39787
3981,3636.0,pvoutput.org,3981
3984,5307.0,pvoutput.org,3984
39851,2500.0,pvoutput.org,39851
39853,4416.0,pvoutput.org,39853
